stage,date,distance,origin,destination,type,flat_cobblestone,flat,half,high_mountain,hilly,individual_time_trial,intermediate,medium_mountain,mountain,mountain_time,plain,plain_with_cobble,stage_with_mountain,team_time_trial,transition,winner,winner_country,year,country_code,stage_2
10,7/17/1913,333,Nice,Grenoble,Stage with mountain,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Francois Faber,LUX,1913,22,10
11,7/19/1913,325,Grenoble,Geneva,Stage with mountain,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Marcel Buysse,BEL,1913,3,11
12,7/21/1913,335,Geneva,Belfort,Stage with mountain,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Marcel Buysse,BEL,1913,3,12
13,7/23/1913,325,Belfort,Longwy,Stage with mountain,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,François Faber,LUX,1913,22,13
14,7/25/1913,393,Longwy,Dunkerque,Plain stage,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Marcel Buysse,BEL,1913,3,14
15,7/27/1913,340,Dunkerque,Paris,Plain stage,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Marcel Buysse,BEL,1913,3,15
1,6/28/1914,388,Paris,Le Havre,Plain stage,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Philippe Thys,BEL,1914,3,1
2,6/30/1914,364,Le Havre,Cherbourg,Plain stage,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Jean Rossius,BEL,1914,3,2
3,7/2/1914,405,Cherbourg,Brest,Plain stage,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Emile Engel,FRA,1914,11,3
4,7/4/1914,470,Brest,La Rochelle,Plain stage,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Oscar Egg,SUI,1914,31,4
5,7/6/1914,376,La Rochelle,Bayonne,Plain stage,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Oscar Egg,SUI,1914,31,5
6,7/8/1914,326,Bayonne,Luchon,Stage with mountain,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Firmin Lambot,BEL,1914,3,6
7,7/10/1914,323,Luchon,Perpignan,Stage with mountain,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Jean Alavoine,FRA,1914,11,7
8,7/12/1914,370,Perpignan,Marseille,Plain stage,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Octave Lapize,FRA,1914,11,8
9,7/14/1914,338,Marseille,Nice,Stage with mountain,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Jean Rossius,BEL,1914,3,9
10,7/16/1914,323,Nice,Grenoble,Stage with mountain,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Henri Pélissier,FRA,1914,11,10
11,7/18/1914,325,Grenoble,Geneva,Stage with mountain,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Gustave Garrigou,FRA,1914,11,11
12,7/20/1914,325,Geneva,Belfort,Stage with mountain,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Henri Pélissier,FRA,1914,11,12
13,7/22/1914,325,Belfort,Longwy,Stage with mountain,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,François Faber,LUX,1914,22,13
14,7/24/1914,390,Longwy,Dunkerque,Plain stage,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,François Faber,LUX,1914,22,14
15,7/26/1914,340,Dunkerque,Paris,Plain stage,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Henri Pélissier,FRA,1914,11,15
1,6/29/1919,388,Paris,Le Havre,Plain stage,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Jean Rossius,BEL,1919,3,1
2,7/1/1919,364,Le Havre,Cherbourg,Plain stage,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Henri Pélissier,FRA,1919,11,2
3,7/3/1919,405,Cherbourg,Brest,Plain stage,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Francis Pélissier,FRA,1919,11,3
4,7/5/1919,412,Brest,Les Sables-d'Olonne,Plain stage,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Jean Alavoine,FRA,1919,11,4
5,7/7/1919,482,Les Sables-d'Olonne,Bayonne,Plain stage,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Jean Alavoine,FRA,1919,11,5
6,7/9/1919,326,Bayonne,Luchon,Stage with mountain,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Honore Barthelemy,FRA,1919,11,6
7,7/11/1919,323,Luchon,Perpignan,Stage with mountain,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Jean Alavoine,FRA,1919,11,7
8,7/13/1919,370,Perpignan,Marseille,Plain stage,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Jean Alavoine,FRA,1919,11,8
9,7/15/1919,338,Marseille,Nice,Stage with mountain,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Honoré Barthélemy,FRA,1919,11,9
10,7/17/1919,333,Nice,Grenoble,Stage with mountain,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Honoré Barthélemy,FRA,1919,11,10
11,7/19/1919,325,Grenoble,Geneva,Stage with mountain,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Honoré Barthélemy,FRA,1919,11,11
12,7/21/1919,371,Geneva,Strasbourg,Stage with mountain,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Luigi Lucotti,ITA,1919,18,12
13,7/23/1919,315,Strasbourg,Metz,Plain stage,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Luigi Lucotti,ITA,1919,18,13
